Wall time;Step;Value
16.151.691.169.256.500;6910;0.008730819
1.615.169.410.849.110;6939;0.043739468
1.615.169.897.441.920;6993;0.029822607
16.151.702.476.208.100;7032;0.051682185
16.151.702.862.571.200;7035;0.051377773
16.151.703.993.777.600;7047;0.049213491
1.615.170.711.713.330;7078;0.042334419
16.151.717.394.361.800;7182;0.006163919
16.151.718.098.752.600;7190;0.006938641
1.615.171.948.489.670;7205;0.053595848
1.615.172.870.577.540;7302;0.04647126
16.151.731.395.435.700;7328;0.068468504
16.151.733.873.316.500;7350;0.07081075
16.151.743.121.717.700;7442;0.044450302
16.151.744.080.165.800;7450;0.077295706
16.151.748.213.267.700;7491;0.054231111
1.615.175.739.521.480;7583;0.091702797
1.615.176.395.955.430;7647;0.043674491
1.615.176.866.417.340;7695;0.039978825
16.151.770.791.456.900;7718;0.039962582
16.151.772.541.140.000;7737;0.053052694
16.151.777.327.691.900;7786;0.076338977
16.151.778.317.077.300;7796;0.097737491
16.151.778.623.732.500;7799;0.076710984
16.151.780.233.631.600;7814;0.088302575
16.151.783.675.478.500;7847;0.039364196
16.151.801.102.174.100;8023;0.082076654
16.151.801.677.390.500;8029;0.074299693
16.151.807.776.452.800;8096;0.065948695
16.151.810.253.912.500;8124;0.104564823
16.151.811.272.776.100;8134;0.100034229
16.151.814.289.851.200;8169;0.041555736
16.151.819.951.659.300;8236;0.082316272
16.151.822.711.127.500;8268;0.047767337
1.615.182.831.958.100;8327;0.082399018
16.151.831.376.883.300;8362;0.00827465
16.151.835.266.712.300;8402;0.10741777
16.151.845.774.920.400;8516;0.056964602
16.151.849.277.499.100;8551;0.008564022
16.151.849.906.038.400;8557;0.082418136
16.151.856.465.432.400;8626;0.049221817
1.615.186.053.394.590;8670;0.078399993
16.151.863.214.452.500;8699;0.094556935
16.151.863.749.387.200;8704;0.009101368
16.151.864.557.242.900;8713;0.05984303
16.151.872.671.070.600;8803;0.08926256
16.151.872.944.083.300;8806;0.056639325
16.151.875.316.234.100;8834;0.097510256
16.151.876.382.867.000;8844;0.083285332
16.151.881.840.366.100;8902;0.009703961
1.615.188.548.176.370;8937;0.113820635
16.151.888.352.879.600;8971;0.052166
16.151.893.462.311.500;9031;0.008177266
16.151.904.721.794.100;9155;0.051940206
16.151.909.933.070.200;9214;0.088517956
1.615.191.228.817.670;9240;0.077576682
16.151.912.518.249.100;9243;0.046297964
16.151.914.584.928.600;9264;0.10636463
16.151.915.185.150.200;9271;0.007537331
16.151.920.106.879.300;9329;0.091974296
16.151.920.617.178.100;9335;0.053994976
16.151.925.904.599.300;9391;0.10568095
16.151.941.652.383.500;9562;0.07253705
16.151.942.358.760.200;9569;0.103986807
16.151.944.596.067.200;9596;0.008559295
16.151.949.973.903.400;9652;0.09751033
1.615.195.302.335.340;9684;0.090512186
1.615.195.888.356.900;9748;0.088728793
16.151.960.869.671.200;9771;0.118712328
16.151.963.865.594.800;9804;0.008688943
16.151.971.586.594.100;9883;0.076069847
16.151.972.274.998.700;9890;0.087141089
1.615.197.338.622.810;9903;0.044909522
1.615.197.902.422.310;9963;0.080820404
16.151.981.861.791.100;9993;0.010704169
16.151.984.093.612.200;10016;0.077393711
16.151.985.779.044.800;10034;0.085976563
16.151.999.500.431.400;10179;0.007819091
16.152.005.195.711.300;10243;0.062308304
1.615.201.900.863.160;10394;0.008314004
16.152.021.385.523.500;10420;0.061676942
16.152.029.248.422.200;10504;0.052075867
16.152.045.266.880.100;10612;0.007441795
16.152.045.942.711.300;10619;0.116681069
16.152.056.551.273.600;10732;0.009785789
16.152.056.826.897.900;10735;0.081582457
16.152.058.892.576.800;10756;0.050425902
16.152.064.657.693.900;10815;0.059168112
16.152.065.724.392.000;10825;0.007555784
16.152.068.676.365.600;10858;0.051652808
16.152.075.739.776.900;10943;0.008495621
16.152.078.909.548.700;10974;0.123300165
16.152.080.349.598.800;10990;0.057604369
16.152.081.813.859.500;11007;0.007359248
16.152.085.165.038.500;11047;0.007691275
1.615.208.927.432.740;11093;0.114503145
16.152.089.402.794.700;11094;0.109347597
16.152.091.547.011.900;11116;0.081430294
16.152.095.176.584.900;11151;0.120136358
1.615.209.732.369.620;11177;0.090046749
1.615.209.810.037.680;11186;0.079058111
16.152.102.710.198.600;11238;0.081517264
16.152.102.999.515.800;11241;0.007818535
16.152.106.331.130.000;11275;0.064681567
16.152.106.650.845.100;11279;0.082568944
1.615.210.844.953.010;11302;0.069036447
16.152.108.943.555.900;11308;0.099912569
16.152.109.110.472.200;11310;0.101817861
1.615.211.261.701.620;11350;0.101920694
16.152.113.097.586.300;11356;0.073043182
1.615.211.485.852.050;11374;0.008358636
16.152.120.584.692.800;11438;0.056871548
16.152.122.126.490.200;11457;0.006591675
16.152.123.041.694.900;11466;0.136387393
161.521.289.323.675;11534;0.060330249
16.152.129.112.497.100;11536;0.006319706
16.152.134.173.953.300;11596;0.00617036
1.615.214.821.936.180;11755;0.007960211
16.152.153.252.205.800;11808;0.092010215
16.152.154.915.472.000;11828;0.114724874
16.152.157.853.412.000;11859;0.056301657
16.152.158.649.106.100;11868;0.108978182
16.152.160.018.238.500;11885;0.007677445
16.152.161.320.334.600;11902;0.007469494
16.152.169.319.702.300;11984;0.080123477
1.615.217.133.642.130;12007;0.106941953
16.152.172.578.354.100;12021;0.092620082
16.152.179.976.335.500;12095;0.121089667
16.152.190.777.792.800;12209;0.117288403
16.152.199.152.821.700;12305;0.094941542
16.152.199.511.780.900;12310;0.007496769
16.152.202.742.041.300;12346;0.132154509
16.152.205.430.631.600;12377;0.006952427
16.152.214.136.770.900;12474;0.010394722
1.615.221.654.514.220;12500;0.098731101
16.152.216.913.526.100;12504;0.075433552
16.152.218.357.313.600;12520;0.009251933
16.152.222.199.351.500;12562;0.065564774
16.152.227.964.195.100;12626;0.119215459
16.152.228.276.185.100;12629;0.00773115
16.152.229.857.053.600;12645;0.042562254
16.152.238.558.767.900;12741;0.086036272
16.152.243.343.664.400;12794;0.066860966
16.152.251.890.984.400;12889;0.007855829
16.152.262.901.231.200;13007;0.066703111
16.152.265.359.573.200;13035;0.00822769
16.152.270.463.809.300;13094;0.005663749
16.152.274.672.362.500;13141;0.007378148
16.152.281.160.575.400;13213;0.071463481
16.152.282.772.842.900;13232;0.008856606
16.152.286.606.793.100;13275;0.108517915
16.152.293.754.900.200;13353;0.010321389
1.615.229.542.050.310;13370;0.006427762
16.152.297.981.358.400;13397;0.096884035
16.152.299.711.782.000;13418;0.065188527
16.152.300.793.764.800;13430;0.115949184
16.152.302.395.043.500;13445;0.146883681
16.152.302.737.528.100;13449;0.105663553
16.152.304.447.206.100;13466;0.012911337
1.615.230.739.270.310;13502;0.014122574
16.152.310.913.376.800;13542;0.106108248
16.152.314.048.094.600;13575;0.103464149
16.152.324.188.016.000;13685;0.058322728
16.152.328.686.977.800;13738;0.006810407
16.152.329.075.995.900;13742;0.007295633
16.152.330.872.521.000;13762;0.11184901
16.152.335.447.285.400;13811;0.060562935
16.152.338.148.196.600;13840;0.054751776
16.152.341.802.132.700;13882;0.006625025
