Wall time;Step;Value;;;
16.151.432.536.881.800;4077;1.0;;;
1.615.143.939.042.140;4157;1.0;;;
16.151.501.739.014.300;4866;1.0;;;
16.151.534.501.955.300;5230;1.0;;;
1.615.154.785.710.850;5388;1.0;;;
16.151.572.158.845.200;5665;1.0;;;
16.151.580.298.156.700;5756;1.0;;;
16.151.589.318.084.400;5853;1.0;;;
161.515.925.175.855;5885;1.0;;;
1.615.162.219.219.960;6200;1.0;;;
16.151.627.968.281.300;6264;1.0;;;
1.615.163.600.499.340;6346;1.0;;;
16.151.654.152.172.600;6536;1.0;;;
1.615.166.572.043.220;6653;1.0;;;
1.615.169.897.441.920;6993;1.0;;;
16.151.743.121.717.700;7442;1.0;;;
1.615.176.395.955.430;7647;1.0;;;
1.615.176.866.417.340;7695;1.0;;;
16.151.770.791.456.900;7718;1.0;;;
16.151.772.541.140.000;7737;1.0;;;
16.151.783.675.478.500;7847;1.0;;;
16.151.814.289.851.200;8169;1.0;;;
16.151.822.711.127.500;8268;1.0;;;
16.151.845.774.920.400;8516;1.0;;;
16.151.856.465.432.400;8626;1.0;;;
16.151.864.557.242.900;8713;1.0;;;
16.151.872.944.083.300;8806;1.0;;;
16.151.888.352.879.600;8971;1.0;;;
16.151.904.721.794.100;9155;1.0;;;
16.151.912.518.249.100;9243;1.0;;;
16.151.920.617.178.100;9335;1.0;;;
1.615.197.338.622.810;9903;1.0;;;
16.152.005.195.711.300;10243;1.0;;;
16.152.021.385.523.500;10420;1.0;;;
16.152.029.248.422.200;10504;1.0;;;
16.152.058.892.576.800;10756;1.0;;;
16.152.064.657.693.900;10815;1.0;;;
16.152.068.676.365.600;10858;1.0;;;
16.152.080.349.598.800;10990;1.0;;;
16.152.106.331.130.000;11275;1.0;;;
1.615.210.844.953.010;11302;1.0;;;
16.152.113.097.586.300;11356;1.0;;;
16.152.120.584.692.800;11438;1.0;;;
161.521.289.323.675;11534;1.0;;;
16.152.157.853.412.000;11859;1.0;;;
16.152.216.913.526.100;12504;1.0;;;
16.152.222.199.351.500;12562;1.0;;;
16.152.229.857.053.600;12645;1.0;;;
16.152.243.343.664.400;12794;1.0;;;
16.152.262.901.231.200;13007;1.0;;;
16.152.281.160.575.400;13213;1.0;;;
16.152.299.711.782.000;13418;1.0;;;
16.152.324.188.016.000;13685;1.0;;;
16.152.335.447.285.400;13811;1.0;;;
16.152.338.148.196.600;13840;1.0;;;
16.152.346.699.795.600;13933;1.0;;;
16.152.348.912.432.800;13956;1.0;;;
16.152.363.098.192.000;14112;1.0;;;
16.152.403.668.207.600;14557;1.0;;;
16.152.410.634.567.300;14639;1.0;;;
16.152.412.161.585.500;14656;1.0;;;
16.152.434.052.508.800;14893;1.0;;;
16.152.440.958.246.100;14968;1.0;;;
1.615.244.158.495.650;14974;1.0;;;
1.615.245.433.387.030;15115;1.0;;;
16.152.492.490.175.900;15535;1.0;;;
1.615.249.855.532.760;15602;1.0;;;
1.615.253.028.032.030;15933;1.0;;;
16.152.544.235.574.000;16076;1.0;;;
16.152.546.343.827.200;16100;1.0;;;
1.615.255.253.413.800;16164;1.0;;;
1.615.257.983.639.860;16452;1.0;;;
16.152.592.246.238.100;16585;1.0;;;
1.615.260.730.942.550;16742;1.0;;;
16.152.610.428.353.300;16776;1.0;;;
16.152.616.357.396.500;16841;1.0;;;
16.152.646.287.755.800;17145;1.0;;;
1.615.265.098.490.270;17193;1.0;;;
16.152.685.231.891.000;17538;1.0;;;
16.152.710.127.814.600;17780;1.0;;;
16.152.725.186.721.100;17922;1.0;;;
16.152.766.364.188.300;18314;1.0;;;
16.152.767.449.044.900;18326;1.0;;;
16.152.848.285.478.100;19049;1.0;;;
16.152.893.528.282.100;19452;1.0;;;
16.152.941.502.317.800;19867;1.0;;;
1.615.295.475.180.850;19976;1.0;;;
16.152.979.343.972.700;20182;1.0;;;
16.152.995.556.305.500;20324;1.0;;;
16.152.996.404.307.000;20331;1.0;;;
16.153.037.431.619.300;20670;1.0;;;
16.153.091.843.755.800;21119;1.0;;;
16.153.171.336.099.900;21745;1.0;;;
16.153.221.914.617.800;22157;1.0;;;
16.153.456.711.964.500;24110;1.0;;;
16.153.567.943.770.300;25033;1.0;;;
16.153.606.198.943.900;25344;1.0;;;
