Wall time;Step;Value
1615648530.7327008;8635;0.543736815
1615648531.3095248;8636;0.540149331
1615648692.9344661;8696;0.540380657
1615648993.7127988;8820;0.504823089
1615648995.1790032;8823;0.573365808
1615649146.8725584;8879;0.497771859
1615649220.8399792;8905;0.513698161
1615649225.934126;8907;0.534864306
1615649268.903318;8929;0.640564144
1615649283.031474;8936;0.585222125
1615649423.4978652;8994;0.538428128
1615649441.5970597;8999;0.503723979
1615649576.355101;9056;0.505579829
1615649598.4307818;9064;0.465836287
1615649992.300491;9227;0.504176557
1615650012.9588091;9234;0.51344049
1615650074.345594;9261;0.499953598
1615650225.166082;9317;0.52788496
1615650298.8636968;9349;0.458435714
1615650451.6590087;9413;0.525327981
1615650461.205049;9416;0.523451388
1615650506.6748724;9436;0.488641411
1615650523.1850348;9443;0.539361835
1615650597.1111872;9469;0.52112788
1615650766.0706258;9539;0.474297762
1615650785.198776;9548;0.496884435
1615650806.7789552;9555;0.479119241
1615650845.1216471;9568;0.495424569
1615650906.3335254;9590;0.532729328
1615651000.3236337;9628;0.548784733
1615651086.2306833;9658;0.523908317
1615651152.40618;9681;0.567443848
1615651204.1419241;9699;0.510623991
1615651382.5649924;9769;0.510939121
1615651587.827663;9844;0.500611603
1615651697.55095;9884;0.537151992
1615651763.715926;9908;0.57847178
1615651928.4805403;9973;0.577302039
1615652117.731332;10051;0.534099042
1615652126.325699;10056;0.561252415
1615652134.1315453;10059;0.519179106
1615652194.045372;10085;0.524526596
1615652408.771605;10169;0.517491877
1615652450.2941658;10186;0.547344029
1615652633.2412958;10257;0.5158934
1615652683.4795501;10277;0.473826736
1615652698.749109;10284;0.493620902
1615652992.0533834;10397;0.567476511
1615653009.9762518;10400;0.570611835
1615653066.9455204;10421;0.542563677
1615653232.599701;10480;0.566873133
1615653256.185254;10490;0.570312917
1615653272.7054768;10494;0.56274569
1615653350.2198427;10523;0.516968548
1615653442.6311116;10556;0.525408983
1615653584.016373;10608;0.556721151
1615653630.2704995;10625;0.55023104
1615653669.4230893;10639;0.559917808
1615653720.0059571;10655;0.605282605
1615653772.1640296;10672;0.531307161
1615653879.3792868;10712;0.575342655
1615654026.7203403;10758;0.570617676
1615654029.0124826;10759;0.579468608
1615654098.9535913;10781;0.533553779
1615654112.2711644;10788;0.540470779
1615654185.887078;10816;0.556452334
1615654219.2112215;10826;0.545391083
1615654262.2248232;10842;0.537142932
1615654296.1547394;10851;0.517308474
1615654325.5848792;10865;0.556545258
1615654438.9369547;10903;0.561860681
1615654453.4860387;10906;0.54656285
1615654555.9358013;10940;0.581795871
1615654569.6028378;10944;0.589976072
1615654633.256239;10967;0.573237062
1615654652.2600217;10973;0.55791676
1615654660.5991528;10975;0.554224849
1615654784.6737177;11015;0.582030594
1615654800.2264867;11021;0.582279503
1615654839.5411599;11034;0.573821545
1615654858.4196987;11039;0.606413245
1615655061.325081;11103;0.597424209
1615655116.76519;11122;0.72605741
1615655153.4608717;11131;0.650560856
1615655284.9626594;11176;0.607108533
1615655359.094751;11199;0.599495053
1615655367.7687063;11201;0.605856657
1615655373.7462444;11202;0.620016515
1615655584.0397499;11261;0.54317081
1615656078.2696512;11420;0.54851383
1615656249.3735175;11473;0.592714489
1615656318.0943935;11493;0.559634268
1615656378.2667217;11524;0.629172206
1615656416.5395348;11533;0.555841327
1615656471.1597311;11550;0.535913527
1615656525.4103801;11567;0.558880389
1615656614.596592;11598;0.544826925
1615656779.7704532;11649;0.560172856
1615656853.4348104;11672;0.531594396
1615656905.341506;11686;0.52410835
1615657147.3408136;11760;0.519486547
1615657530.1695514;11874;0.533625782
1615657866.8260121;11970;0.604945362
1615657895.0531335;11975;0.626612246
1615658023.8940933;12011;0.577694714
1615658134.3500752;12042;0.57942462
1615658476.8648896;12139;0.574619055
1615658561.2783885;12165;0.559828043
1615658576.7086692;12169;0.559921145
1615658637.8239713;12185;0.575323522
1615658786.66211;12227;0.570871353
1615659082.7953315;12291;0.577842534
1615659095.62923;12294;0.568741798
1615659179.8366058;12310;0.589901447
1615659558.909647;12406;0.547838092
1615659738.2371233;12459;0.559140146
1615660084.609152;12554;0.619741082
1615660489.3856652;12672;0.585826099
1615660584.9452188;12698;0.569922268
1615660798.4576752;12759;0.641823173
1615660860.2929356;12775;0.603347242
1615660979.3749502;12806;0.5490399
1615661240.3206267;12878;0.552794039
1615661313.425107;12897;0.546271443
1615661470.7634623;12940;0.579278111
1615661546.0000467;12960;0.566944301
1615661752.393415;13018;0.606390953
1615661821.3663218;13035;0.553495944
1615661928.1340697;13062;0.620055854
1615662009.7131183;13083;0.575232506
1615662054.0538328;13095;0.575419307
1615662099.025352;13110;0.587721348
1615662122.4032233;13114;0.597621202
1615662186.5727618;13131;0.59449023
1615662314.5573573;13167;0.613731861
1615662463.4322398;13207;0.634474456
1615662608.2594564;13240;0.584721982
1615663016.7738507;13350;0.567852557
1615663222.9716153;13403;0.564203858
1615663243.3340964;13407;0.601163447
1615663323.3643346;13427;0.587901235
1615663509.4154227;13476;0.560042143
1615663625.2390177;13505;0.579275131
1615663796.4712229;13547;0.616171122
1615663990.0976682;13598;0.583099365
1615664070.4328132;13620;0.578218877
1615664287.692266;13680;0.577829123
1615664302.870188;13683;0.576786935
1615664569.5350614;13748;0.583312631
1615664691.2217674;13777;0.584670186
1615664840.0142293;13811;0.569035947
1615664966.0976279;13846;0.623796225
1615665061.273036;13869;0.664883971
1615665123.622692;13885;0.612885535
1615665334.6765897;13938;0.570820391
1615665414.324907;13958;0.621676147
1615665469.0012982;13971;0.595835328
1615665489.9318771;13977;0.582391977
1615665575.7187817;13999;0.563050568
1615665921.5452447;14081;0.5507375
1615666504.0567248;14222;0.585148752
1615666767.456021;14288;0.581841052
1615666804.5529199;14295;0.589956939
1615666833.418018;14304;0.564162612
1615666906.2432249;14321;0.617142498
1615666959.0215936;14333;0.617057502
1615666980.2374485;14339;0.617940962
1615667231.5232356;14398;0.632607639
1615667454.0926795;14448;0.611119807
1615667652.9777966;14495;0.61808455
1615667803.6383634;14531;0.594797671
1615667904.6036203;14555;0.606306434
1615667917.0980465;14558;0.601856947
1615668225.643429;14633;0.58254236
1615668250.0632854;14639;0.581252992
1615668383.6496768;14669;0.548434734
1615668416.1002731;14678;0.600576699
1615668439.8012576;14682;0.583024442
1615668465.471683;14688;0.595962405
1615668860.4035113;14780;0.606470346
1615668868.1289341;14781;0.589937449
1615668902.3511906;14789;0.576315701
1615668908.8284304;14793;0.609255075
1615668974.9496033;14810;0.60002172
1615669253.6682725;14874;0.605724216
1615669339.2831893;14893;0.586721838
1615669490.3228424;14927;0.57485497
1615669588.4980817;14951;0.632997036
1615669918.0452533;15028;0.585074127
1615670192.659062;15091;0.558656693
1615670384.3513877;15137;0.562987745
1615670579.0990374;15181;0.642404079
1615670662.821402;15200;0.652301073
1615670954.453621;15267;0.61338526
1615671192.1395743;15325;0.643889666
1615671284.0344872;15348;0.645883024
1615671626.3383906;15429;0.653232694
1615671742.1046042;15457;0.627806425
1615671812.6372554;15474;0.602801383
1615671821.5902896;15476;0.615452468
1615671961.3367548;15508;0.589214861
1615672090.5172744;15539;0.614409208
1615672357.5510771;15598;0.56987977
1615672986.219674;15741;0.578110576
1615673098.3367448;15765;0.588823855
1615673136.961326;15774;0.621699631
1615673169.0670953;15780;0.621844292
1615673367.417638;15826;0.570272923
1615673389.1900244;15829;0.546230733
1615673466.104682;15848;0.575881302
1615673538.9718974;15867;0.584390581
1615674022.4654377;15980;0.573582947
1615674088.5282624;15994;0.576064289
1615674562.3489437;16096;0.558368444
1615674646.5833268;16117;0.56096673
1615674972.880333;16189;0.599733174
1615675023.141103;16199;0.59955442
1615675257.7328076;16250;0.595114946
1615675573.1151133;16322;0.57222271
1615675678.0217807;16344;0.586518764
1615675759.6311817;16361;0.577020645
1615675964.1040108;16407;0.561826825
1615676104.8423269;16441;0.595213354
1615676408.3197408;16506;0.587258637
1615676667.7862248;16560;0.593618691
1615676774.1724274;16586;0.572059035
1615676806.7491007;16591;0.567981124
1615677132.923663;16662;0.550568461
1615677278.3920846;16698;0.632812798
1615677498.8569183;16747;0.571897924
1615677794.843412;16809;0.605223596
1615677796.8272357;16810;0.594887435
1615677939.9091012;16844;0.608734965
1615677999.9570835;16858;0.611989141
1615678190.7009687;16900;0.599588215
1615678987.2922702;17067;0.591156065
1615679127.0533338;17098;0.649928749
1615679291.5050607;17132;0.619401932
1615679595.2868633;17193;0.612459719
1615679641.062127;17203;0.640674114
1615679805.379222;17240;0.639443934
1615679840.7515838;17248;0.62740618
1615679955.2219338;17273;0.619000733
1615680029.693043;17291;0.639613628
1615680037.3119879;17293;0.615761042
1615680136.867517;17316;0.602862597
1615680142.2809608;17317;0.586993158
1615680143.6439917;17318;0.589398921
1615680166.092296;17321;0.605630755
1615680252.525913;17340;0.588665426
1615680430.0011008;17375;0.5688833
1615680572.471873;17406;0.578858435
1615680671.6066773;17427;0.580857515
1615680758.2001467;17445;0.61236459
1615680812.8926084;17455;0.590423942
1615681221.2486665;17544;0.584601641
1615681294.1181545;17558;0.602908373
1615681391.312993;17578;0.604406714
1615681430.3096628;17587;0.581214547
1615681466.6009645;17594;0.566420078
1615681466.788461;17595;0.563064754
1615681601.7218869;17624;0.62759459
1615681653.3074222;17634;0.587755024
1615681741.3876367;17654;0.601201832
1615682084.6163228;17723;0.624204218
1615682315.111257;17772;0.608907938
1615682316.0270312;17773;0.641555727
1615682475.425718;17805;0.615636945
1615682655.3165376;17843;0.682078183
1615683196.6257422;17954;0.576439559
1615683304.5469105;17979;0.596515656
1615683322.3237283;17982;0.602066517
1615683369.1234689;17991;0.635723948
1615683507.1604488;18019;0.645665586
1615683691.970457;18054;0.666336536
1615683754.1112118;18066;0.642331958
1615683940.5077906;18105;0.617992222
1615684068.6078792;18130;0.623474479
1615684149.326578;18147;0.663366199
1615684482.7502582;18215;0.60515219
1615684577.4235702;18237;0.562782168
1615684720.9740002;18265;0.597317994
1615684991.9130638;18319;0.6065045
1615685195.7329123;18363;0.574722767
1615685648.5856762;18452;0.634978414
1615685649.0404618;18453;0.631895363
1615686111.674162;18548;0.587346017
1615686327.5032377;18593;0.581196606
1615686901.252446;18714;0.560461164
1615686932.7382362;18721;0.570269406
1615687560.3890145;18846;0.598928452
1615687804.3633893;18893;0.605069458
1615688004.7342262;18934;0.622357905
1615688137.0851717;18959;0.599722207
1615688235.1124268;18978;0.686203718
1615688247.1867614;18983;0.613356292
1615688374.2897763;19006;0.581093371
1615688475.486068;19028;0.635164917
1615688580.372544;19049;0.66108954
1615688904.9908588;19117;0.615302145
1615689193.2354138;19170;0.594885051
1615689509.0344577;19228;0.620751262
1615689741.2422752;19272;0.647088468
1615689755.289409;19276;0.627624571
1615689890.7854042;19301;0.591325164
1615690846.4659195;19486;0.638013124
1615690920.2605786;19501;0.625996113
1615690925.0542574;19504;0.627972186
1615691047.064395;19526;0.643041432
